Date,ABEV3.SA,BOVA11.SA,ITUB4.SA,PETR4.SA,VALE3.SA,WEGE3.SA
2019-01-02 00:00:00+00:00,13.25745964050293,87.9000015258789,28.885053634643555,8.05655574798584,32.18225860595703,8.256758689880371
2019-01-03 00:00:00+00:00,13.405221939086914,88.0,29.361255645751953,8.254117965698242,30.865739822387695,8.445039749145508
2019-01-04 00:00:00+00:00,13.58581829071045,88.5,28.86942481994629,8.277556419372559,32.875160217285156,8.541473388671875
2019-01-07 00:00:00+00:00,13.528355598449707,88.4800033569336,28.924074172973633,8.408149719238281,32.69878387451172,8.40830135345459
2019-01-08 00:00:00+00:00,13.25745964050293,88.83000183105469,29.29100799560547,8.35792350769043,33.01374053955078,8.339418411254883
2019-01-09 00:00:00+00:00,13.446266174316406,90.31999969482422,29.735990524291992,8.532045364379883,33.82002258300781,8.431262969970703
2019-01-10 00:00:00+00:00,13.832087516784668,90.41999816894531,29.53300666809082,8.458378791809082,33.44838333129883,8.49555492401123
2019-01-11 00:00:00+00:00,14.193281173706055,90.37999725341797,29.35345458984375,8.36796760559082,32.99483871459961,8.582803726196289
2019-01-14 00:00:00+00:00,14.398506164550781,91.20999908447266,29.572036743164062,8.321086883544922,33.133426666259766,8.679243087768555
2019-01-15 00:00:00+00:00,14.529850959777832,90.61000061035156,29.111454010009766,8.3143892288208,32.9759521484375,8.50932788848877
2019-01-16 00:00:00+00:00,14.611936569213867,91.1500015258789,29.02556610107422,8.311042785644531,33.16492462158203,8.68842601776123
2019-01-17 00:00:00+00:00,14.652983665466309,91.97000122070312,29.02556610107422,8.42489242553711,34.160186767578125,8.633318901062012
2019-01-18 00:00:00+00:00,14.776118278503418,92.61000061035156,29.40030288696289,8.505257606506348,34.49403762817383,8.587397575378418
2019-01-21 00:00:00+00:00,14.776118278503418,92.63999938964844,29.15827751159668,8.548789024353027,34.82159423828125,8.642505645751953
2019-01-22 00:00:00+00:00,14.398506164550781,91.4000015258789,29.111454010009766,8.414849281311035,34.695613861083984,8.52310562133789
2019-01-23 00:00:00+00:00,14.102983474731445,93.0999984741211,29.306623458862305,8.515301704406738,35.05466079711914,8.619543075561523
2019-01-24 00:00:00+00:00,14.086565971374512,94.16999816894531,29.267587661743164,8.552136421203613,35.3696174621582,8.642505645751953
2019-01-28 00:00:00+00:00,14.735072135925293,92.08000183105469,29.79064178466797,8.294300079345703,26.683116912841797,8.780271530151367
2019-01-29 00:00:00+00:00,14.669402122497559,92.19000244140625,29.572036743164062,8.49521255493164,26.9224853515625,8.821599006652832
2019-01-30 00:00:00+00:00,14.751489639282227,93.5199966430664,29.75941276550293,8.578923225402832,29.353940963745117,8.918035507202148
2019-01-31 00:00:00+00:00,14.373878479003906,94.0,30.27465057373047,8.565531730651855,28.661043167114258,8.651690483093262
2019-02-01 00:00:00+00:00,14.866415977478027,94.36000061035156,30.3098087310791,8.639198303222656,29.13347816467285,9.014472007751465
2019-02-04 00:00:00+00:00,15.145522117614746,95.02999877929688,30.997055053710938,8.716214179992676,28.14451026916504,9.046615600585938
2019-02-05 00:00:00+00:00,15.301488876342773,94.80000305175781,29.677213668823242,8.732956886291504,28.043729782104492,9.207341194152832
2019-02-06 00:00:00+00:00,14.849996566772461,91.2699966430664,28.42764663696289,8.535395622253418,26.746105194091797,8.88129711151123
2019-02-07 00:00:00+00:00,15.391790390014648,91.0,28.529151916503906,8.401453971862793,26.198081970214844,8.803231239318848
2019-02-08 00:00:00+00:00,14.95671272277832,91.69999694824219,29.138334274291992,8.414849281311035,27.18704605102539,8.7251615524292
2019-02-11 00:00:00+00:00,15.358952522277832,90.98999786376953,28.810317993164062,8.31773853302002,26.468944549560547,8.674649238586426
2019-02-12 00:00:00+00:00,15.326117515563965,92.44999694824219,29.497587203979492,8.612412452697754,27.905141830444336,8.665464401245117
2019-02-13 00:00:00+00:00,15.09626579284668,92.5999984741211,28.82594871520996,8.722911834716797,28.65474510192871,8.5690279006958
2019-02-14 00:00:00+00:00,15.260444641113281,94.33999633789062,29.591297149658203,9.024279594421387,28.761829376220703,8.651690483093262
2019-02-15 00:00:00+00:00,15.178356170654297,94.04000091552734,29.286718368530273,8.987444877624512,28.900413513183594,8.679243087768555
2019-02-18 00:00:00+00:00,14.932088851928711,,28.818130493164062,8.960658073425293,28.503564834594727,8.761902809143066
2019-02-19 00:00:00+00:00,15.038804054260254,93.77999877929688,29.48194694519043,9.168266296386719,28.65474510192871,8.904256820678711
2019-02-20 00:00:00+00:00,14.899251937866211,93.16999816894531,29.10709571838379,9.054415702819824,28.850019454956055,8.628726959228516
2019-02-21 00:00:00+00:00,15.038804054260254,,29.638153076171875,9.174962043762207,28.58545684814453,8.670052528381348
2019-02-22 00:00:00+00:00,15.038804054260254,,29.44594955444336,9.084552764892578,29.599613189697266,8.748126029968262
2019-02-25 00:00:00+00:00,15.09626579284668,93.7699966430664,28.996129989624023,8.940567016601562,29.681503295898438,8.514236450195312
2019-02-26 00:00:00+00:00,15.178356170654297,94.12000274658203,29.100557327270508,8.900381088256836,29.731895446777344,8.454278945922852
2019-02-27 00:00:00+00:00,15.071640014648438,93.83999633789062,28.843528747558594,9.06781005859375,29.498828887939453,8.569587707519531
2019-02-28 00:00:00+00:00,14.144028663635254,,28.297334671020508,9.061111450195312,29.668899536132812,8.495790481567383
2019-03-01 00:00:00+00:00,13.758208274841309,,27.99600601196289,8.940567016601562,29.442138671875,8.45888900756836
2019-03-06 00:00:00+00:00,13.438057899475098,90.76000213623047,28.00404167175293,8.960658073425293,30.267322540283203,8.569587707519531
